vax05_pos_metabo_feature	ZV1-01-d0	ZV1-04-d0	ZV1-05-d0	ZV1-06-d0	ZV1-08-d0	ZV1-09-d0	ZV1-10-d0	ZV1-11-d0	ZV1-12-d0	ZV1-13-d0	ZV1-14-d0	ZV1-15-d0	ZV1-16-d0	ZV1-17-d0	ZV1-18-d0	ZV1-19-d0	ZV1-20-d0	ZV1-21-d0	ZV1-22-d0	ZV1-25-d0	ZV1-26-d0	ZV1-27-d0	ZV1-29-d0	ZV1-31-d0	ZV1-32-d0	ZV1-33-d0	ZV1-34-d0	ZV1-35-d0	ZV1-36-d0	ZV1-37-d0	ZV1-38-d0	ZV1-39-d0	ZV1-42-d0	ZV1-43-d0	ZV1-44-d0	ZV2-01-d0	ZV2-02-d0	ZV2-03-d0	ZV2-04-d0	ZV2-05-d0	ZV2-06-d0	ZV2-07-d0	ZV2-08-d0	ZV2-09-d0	ZV2-10-d0	ZV2-11-d0	ZV2-12-d0	ZV2-14-d0	ZV2-15-d0	ZV2-16-d0	ZV2-17-d0	ZV2-19-d0	ZV2-20-d0	ZV2-21-d0	ZV2-22-d0	ZV2-23-d0	ZV2-24-d0	ZV2-25-d0	ZV2-26-d0	ZV2-27-d0	ZV2-28-d0	ZV2-30-d0	ZV2-31-d0	ZV2-32-d0	ZV2-33-d0	ZV2-34-d0	ZV2-35-d0	ZV2-36-d0	ZV2-38-d0	ZV2-39-d0
row1_85.0402_51	22.21	23.31	22.698	23.230999999999998	22.304000000000002	22.186	23.323	22.486	22.735	22.691999999999997	22.825	22.649	23.182	22.065	22.368000000000002	22.631	22.912	23.154	22.358	21.988000000000003	22.796	23.002	21.965999999999998	22.154	22.256999999999998	22.448	22.250999999999998	22.8	21.928	22.694000000000003	21.963	22.719	21.838	22.281	21.932	22.399	22.427	22.307	22.78	22.621	22.35	22.135	22.057	22.873	22.374000000000002	21.683000000000003	22.044	22.248	22.078000000000003	22.678	22.064	21.759	22.65	22.160999999999998	22.206	22.203000000000003	21.784000000000002	21.682	21.916999999999998	21.212	21.451999999999998	21.895	21.316999999999997	21.713	22.043000000000003	22.087	21.81	21.526999999999997	20.846999999999998	21.305
row2_85.0654_82	23.101	22.825	23.485	22.524	23.333000000000002	23.378	23.444000000000003	22.105999999999998	23.02	23.618000000000002	23.059	23.3	23.243000000000002	23.264	22.845	22.65	23.428	23.548000000000002	22.513	22.48	23.000999999999998	22.875999999999998	23.735	22.557	22.918000000000003	22.074	23.128	23.31	22.788	23.29	23.436	22.986	22.811	21.595	22.178	23.302	22.851	23.125999999999998	22.828000000000003	23.224	23.373	23.201	22.951	22.741	23.053	22.495	22.793000000000003	23.059	22.756999999999998	22.553	22.136999999999997	22.773000000000003	22.641	22.794	22.951	22.741999999999997	23.08	22.788	22.734	22.333000000000002	22.823	23.433000000000003	22.951999999999998	22.712	22.45	21.679000000000002	22.439	22.313000000000002	22.776	22.615
row3_85.0653_321	23.026999999999997	23.129	22.897	23.409000000000002	18.569000000000003	22.006999999999998	22.546999999999997	23.14	22.368000000000002	22.013	22.557	22.372	22.594	22.516	22.125	22.945	21.465	21.723000000000003	21.906999999999996	22.166	22.599	22.031999999999996	22.433000000000003	22.436	22.877	22.033	22.212	22.142	22.941999999999997	21.735	22.826	22.54	21.266	22.929000000000002	22.631	21.98	22.789	21.671	21.94	22.21	21.811999999999998	22.12	22.054000000000002	19.689	22.189	22.362	22.463	22.298000000000002	22.508000000000003	22.004	22.424	22.585	21.374000000000002	22.127	21.88	21.789	22.171	22.127	22.086	22.424	21.885	21.409000000000002	21.623	21.996	21.864	21.73	22.509	21.798000000000002	20.726999999999997	22.302
row4_85.0766_39	21.302	21.094	21.491	21.44	21.933000000000003	21.95	21.961	21.947	21.635	21.838	21.997	21.86	21.987	21.873	21.795	21.974	21.416999999999998	21.819000000000003	21.826999999999998	21.916	22.087	22.016	21.988000000000003	21.473000000000003	22.13	22.128	21.930999999999997	21.839000000000002	21.649	21.753	21.177	21.658	21.849	21.818	21.734	21.514	21.717	21.796999999999997	21.756999999999998	21.699	21.787	21.665	21.32	20.515	22.003	21.691	21.525	21.694000000000003	21.454	21.537	21.283	21.965	21.526999999999997	21.441999999999997	21.374000000000002	21.245	21.206	22.302	21.424	21.476999999999997	21.383000000000003	21.750999999999998	21.36	21.607	21.494	21.267	21.71	21.563000000000002	23.125999999999998	21.158
row5_85.0766_557	22.99	23.521	23.070999999999998	22.37	22.819000000000003	23.517	23.076	23.228	23.179000000000002	22.968000000000004	23.141	23.522	23.355999999999998	22.622	23.090999999999998	21.671	22.963	22.045	22.418000000000003	22.820999999999998	23.089000000000002	22.991	22.625999999999998	21.432	22.447	21.14	21.996	22.2	22.840999999999998	22.934	20.995	21.869	22.519000000000002	21.497	21.053	22.616	22.683000000000003	20.889	22.295	22.541999999999998	22.531	22.569000000000003	22.53	22.62	22.537	22.537	22.421	22.877	22.596	22.799	22.281999999999996	22.476	22.636999999999997	22.43	22.55	22.339000000000002	21.357	22.750999999999998	22.541999999999998	22.491999999999997	22.633000000000003	22.590999999999998	22.359	22.559	22.559	21.301	22.514	22.224	22.058000000000003	22.54
row6_85.1015_35	22.81	23.055999999999997	23.098000000000003	23.006	23.247	23.595	23.171999999999997	23.258000000000003	23.246	23.513	23.509	23.465999999999998	23.625999999999998	23.566	23.526999999999997	23.664	23.517	23.611	22.930999999999997	23.631999999999998	22.685	22.480999999999998	22.250999999999998	22.695999999999998	22.502	22.448	22.723000000000003	22.686999999999998	22.864	22.884	22.761	22.849	22.965	22.939	22.933000000000003	23.022	21.162	22.982	22.988000000000003	21.101	21.357	21.404	21.276	19.930999999999997	21.421	21.414	21.022	21.223000000000003	21.302	21.063000000000002	21.484	21.386	21.366	21.238000000000003	21.568	21.154	21.447	0.0	21.558000000000003	21.223000000000003	21.344	21.021	21.166	20.666	21.291	20.612	20.38	20.763	20.259	20.491999999999997
row7_85.1016_594	22.467	22.840999999999998	22.392	22.189	22.495	22.739	22.53	21.76	22.209	22.241	22.682	21.866999999999997	22.006999999999998	21.52	22.871	21.802	21.241	23.241999999999997	21.538	21.381999999999998	21.993000000000002	21.721999999999998	21.296999999999997	21.363000000000003	21.83	22.389	21.99	22.113000000000003	21.991	21.014	21.65	22.171999999999997	21.074	21.261	20.930999999999997	21.614	22.272	20.869	21.802	22.248	22.174	21.581999999999997	18.14	22.018	21.005	22.44	21.186999999999998	21.524	21.304000000000002	21.103	22.057	20.285999999999998	20.901	22.456999999999997	21.894000000000002	21.405	21.361	0.0	21.904	21.342	21.899	21.947	21.439	20.930999999999997	21.658	20.36	21.506	21.689	20.750999999999998	21.858
row8_85.5743_124	21.704	24.017	23.311999999999998	22.936	22.795	23.156	23.694000000000003	23.862	24.013	22.394000000000002	24.033	25.031999999999996	0.0	22.480999999999998	23.517	23.724	21.053	21.865	23.840999999999998	22.910999999999998	23.586	23.456999999999997	23.023000000000003	23.859	23.151999999999997	24.092	24.294	23.201999999999998	21.76	22.645	23.61	24.219	23.605999999999998	23.406	23.36	22.342	23.456999999999997	23.221999999999998	22.395	23.198	21.524	23.493000000000002	23.028000000000002	23.26	23.046999999999997	24.416999999999998	22.795	22.679000000000002	23.014	23.423000000000002	22.724	22.108	23.689	22.726999999999997	22.78	23.107	23.699	22.991999999999997	22.552	22.726999999999997	22.717	22.423000000000002	22.631999999999998	23.235	22.185	24.500999999999998	22.596999999999998	22.616	23.241999999999997	23.055999999999997
row9_86.0606_271	24.505	23.593000000000004	24.326999999999998	25.046999999999997	23.955	23.675	24.576	23.9	23.714000000000002	24.185	24.394000000000002	23.755	23.625	24.954	24.315	24.836	24.245	24.75	22.963	24.779	24.212	24.429000000000002	24.393	24.166999999999998	24.456	23.875	23.261	23.303	24.239	23.328000000000003	24.737	23.326999999999998	24.151999999999997	23.499000000000002	24.545	23.059	24.529	23.291	24.583000000000002	21.916999999999998	25.218000000000004	23.945999999999998	23.464000000000002	24.074	24.581	24.682	23.655	25.401999999999997	24.815	24.88	24.523000000000003	23.456999999999997	24.118000000000002	22.691	23.363000000000003	23.378	24.588	22.469	23.041	23.523000000000003	23.059	23.831	24.019000000000002	23.633000000000003	23.86	24.949	24.004	23.665	23.668000000000003	24.154
row10_86.097_82	32.593	31.951	31.785	31.959	31.499000000000002	31.996	31.975	31.825	31.548000000000002	32.481	32.21	31.338	31.015	31.953000000000003	32.255	31.868000000000002	31.771	31.715999999999998	32.113	32.138000000000005	31.86	32.531	32.282	32.101	31.561	30.848000000000003	32.608000000000004	31.298000000000002	31.305	31.0	32.005	32.167	32.204	31.168000000000003	31.971999999999998	32.273	32.449	31.531999999999996	32.059	31.570999999999998	32.150999999999996	32.205	32.542	31.479	32.265	31.819000000000003	31.504	32.556999999999995	32.496	32.43	33.327	32.653	33.662	31.785999999999998	31.555	32.059	32.201	32.21	31.76	33.345	33.426	32.297	32.214	32.199	32.106	31.555	32.625	32.305	31.87	32.19
row11_86.097_493	27.243000000000002	29.051	29.320999999999998	28.086	28.689	29.105999999999998	28.82	28.693	28.522	29.476	29.428	28.97	29.256999999999998	29.375	29.589000000000002	28.973000000000003	29.611	29.419	29.425	29.076999999999998	28.73	29.523000000000003	29.590999999999998	29.348000000000003	29.49	29.371	29.663	29.443	26.178	29.289	28.773000000000003	29.064	29.239	29.074	28.791	29.052	29.148000000000003	29.145	28.976999999999997	29.316	29.406	29.412	29.901999999999997	28.883000000000003	29.74	29.523000000000003	29.518	29.346999999999998	29.984	30.125	29.673000000000002	29.930999999999997	30.41	29.718000000000004	29.8	30.092	29.328000000000003	29.31	29.351999999999997	29.618000000000002	30.233	30.04	29.631	29.910999999999998	30.011	28.142	30.211	29.971	29.964000000000002	29.916
row12_87.094_70	24.049	23.503	22.62	22.46	23.625	23.421	23.041	23.925	23.78	23.224	23.05	23.448	22.348000000000003	22.863000000000003	23.248	22.033	22.144000000000002	22.302	23.101999999999997	22.488000000000003	22.858	23.698	23.281	22.811	22.755	23.421999999999997	23.65	22.664	22.427	21.18	22.853	23.111	23.573	21.999000000000002	23.701999999999998	23.54	24.052	21.563000000000002	23.247	22.524	23.601999999999997	23.586	24.134	22.096	23.579	22.95	22.459	24.143	24.055999999999997	23.971999999999998	25.105999999999998	24.246	25.761	23.022	22.211	23.473000000000003	23.566999999999997	23.63	23.053	25.233	25.272	23.724	23.6	23.739	23.545	23.871	24.328000000000003	23.958000000000002	23.017	23.588
