mz	retention_time	mock_6hr_01	mock_6hr_02	mock_6hr_03	p_0hr_01	p_0hr_02	p_0hr_03	yf_6hr_01	yf_6hr_02	yf_6hr_03
85.02783	59	17.23	17.18	17.44	15.67	15.57	17.26	16.94	16.98	16.56
85.04717	124	16.53	15.8	16.62	14.37	14.85	15.63	16.71	15.65	16.27
85.06532	68	10.8	10.61	11.36	14.87	14.89	12.53	14.42	14.03	10.81
85.10073	16	13.32	13.16	13.42	13.77	12.42	13.31	12.99	12.99	12.95
86.05951	67	18.42	18.15	18.37	15.18	17.02	17.91	17.76	17.67	15.15
86.05951	468	13.03	13.17	12.63	15.13	13.82	13.58	14.36	12.75	12.83
87.04351	31	15.45	14.49	15.46	14.96	14.9	15.39	15.22	14.93	14.63
87.05457	55	19.02	18.98	19.0	17.38	17.62	18.81	18.18	18.17	18.12
87.0993	53	21.38	19.73	20.71	19.07	19.48	20.01	21.22	21.12	20.89
87.92316	24	13.63	13.34	13.53	13.88	13.96	13.55	13.27	13.23	13.53
88.02214	43	17.0	16.81	16.58	19.17	19.34	15.88	16.59	16.28	16.6
88.03868	85	20.7	19.8	19.86	19.08	19.7	19.46	19.83	19.5	18.97
88.05722	63	15.85	16.79	16.84	21.25	20.82	16.94	16.4	16.29	16.36
88.0751	102	19.69	18.49	20.2	20.18	20.95	18.24	18.93	18.44	18.32
88.50855	83	14.7	14.86	14.0	14.95	15.75	14.16	13.66	13.4	12.9
89.00769	107	14.22	10.32	13.79	13.62	15.18	11.44	13.21	11.29	12.61
89.07042	504	15.16	14.67	14.89	13.77	13.21	15.05	14.8	14.76	15.52
89.46475	559	14.06	14.42	13.81	15.51	13.91	13.82	13.52	14.3	13.98
89.46479	56	15.2	14.12	13.95	14.43	14.42	14.04	14.37	13.79	14.12
89.50603	54	18.18	17.43	16.9	18.48	18.63	16.87	17.15	17.27	16.91
89.50633	552	14.27	14.21	14.24	15.0	14.42	14.1	14.14	14.29	14.24
90.0544	514	13.18	14.47	13.26	14.44	13.54	13.4	12.82	13.91	14.52
90.50623	394	12.96	11.45	17.7	17.82	18.9	19.09	18.62	9.97	18.85
90.50593	29	16.52	16.37	15.51	16.73	16.54	16.39	16.18	16.44	16.18
90.52539	470	12.53	15.22	18.23	17.44	19.62	18.36	17.6	14.9	15.49
90.5256	40	19.55	19.65	19.85	22.22	22.26	19.56	19.87	19.75	19.26
90.97619	47	25.68	25.17	25.41	23.84	24.22	25.12	25.21	25.54	25.33
91.01725	165	15.63	15.31	15.52	13.71	14.97	15.38	15.5	15.52	15.34
91.02308	49	15.47	15.12	14.94	15.33	15.72	14.69	15.2	14.84	15.09
91.02706	87	15.46	15.99	15.82	18.39	18.15	16.01	16.13	16.39	16.4
91.02704	331	15.65	14.56	14.71	15.64	15.81	16.15	12.94	15.03	14.06
91.50391	415	11.98	13.97	17.89	13.59	16.72	15.18	16.94	12.62	16.37
91.50396	25	14.47	15.34	14.49	15.52	14.06	14.45	14.36	14.61	14.58
91.542	38	17.54	18.32	18.4	19.46	19.6	17.99	18.7	18.55	18.97
92.05709	232	13.0	12.27	13.33	13.92	12.9	13.33	11.6	12.85	10.67
92.52189	37	15.65	15.83	14.74	15.93	15.16	15.51	15.55	14.93	14.91
94.06457	215	14.67	14.27	15.11	14.11	15.22	14.49	14.62	14.46	14.7
95.08502	268	14.95	15.59	15.75	14.1	14.12	14.62	14.73	13.55	15.6
95.52254	28	15.16	14.37	15.33	14.29	14.38	14.35	15.16	15.48	14.86
96.05511	150	14.29	15.61	14.49	14.51	13.63	14.92	14.72	14.73	14.44
