SOURCE	TARGET	ENZYMES
C00025	C00020	;6.3.5.1;6.3.5.2;6.1.1.17;6.3.5.4
C00025	C04376	6.3.5.3
C00025	C00921	6.3.2.17;2.1.1.45;6.3.2.12
C00025	C00624	2.3.1.1
C00025	C01005	2.6.1.52
C00025	C00352	2.6.1.16
C00025	C00051	;3.4.11.4;2.3.2.2
C00025	C01045	2.1.2.5
C00025	C00049	3.5.1.38;4.1.1.15;6.3.5.4;2.6.1.1
C00120	C00020	6.3.4.15;6.3.4.9;6.3.4.10;6.3.4.11
C00364	C05841	3.1.3.5
C00364	C00294	3.1.3.5
C00364	C00362	3.6.1.19;2.7.4.12;3.1.3.5
C00364	C00020	3.1.3.5;3.6.1.5
C00364	C00330	3.1.3.5
C00364	C03150	3.1.3.5
C00364	C00239	3.1.3.5;3.5.4.12
C00364	C00559	3.1.3.5
C00364	C00212	3.1.3.5
C00364	C01185	3.1.3.5
C00362	C05841	3.1.3.5
C00362	C00294	3.1.3.5
C00362	C00020	3.1.3.5
C00362	C00330	3.1.3.5;2.7.1.113
C00362	C03150	3.1.3.5
C00362	C00239	3.1.3.5
C00362	C00559	3.1.3.5
C00362	C00212	3.1.3.5
C00362	C01185	3.1.3.5
C00020	C00062	6.3.4.5;4.3.2.2;1.14.13.39;6.1.1.19
C00020	C00147	2.4.2.8;2.4.2.7
C00020	C00212	2.7.1.20;3.1.3.5;2.7.1.74
C00020	C03150	3.1.3.5
C00020	C00239	3.1.3.5;2.7.1.74
C00020	C00559	3.1.3.5
C00020	tetpent6	6.2.1.3
C00020	C01185	;3.6.1.9;3.6.1.22;3.1.3.5
C00020	CE4839	6.2.1.3
C00020	tetpent3	6.2.1.3
C00020	C05841	;3.1.3.5
C00020	C00294	3.1.3.5
C00020	C00031	;2.7.1.147
C00020	C00330	3.1.3.5
C00020	CE5856	;1.3.3.6;1.1.1.35;3.1.2.2;4.2.1.17;2.3.1.16;2.3.1.154;6.2.1.-;5.1.99.4
C00020	C00378	2.7.6.2
C00020	C00327	;2.3.1.65;6.2.1.7;6.2.1.2;1.3.3.6;2.7.4.3;2.4.2.8;6.2.1.1;2.3.1.154;3.6.1.22;6.1.1.21;6.2.1.16;6.2.1.17;3.5.3.18;6.3.4.15;2.7.6.2;3.5.4.6;6.3.4.10;6.3.4.11;6.1.1.12;6.1.1.11;2.7.1.74;3.1.4.17;6.1.1.16;2.7.4.10;6.1.1.14;3.5.4.17;6.1.1.19;6.1.1.18;6.3.2.19;3.6.1.29;6.1.1.7;2.3.1.16;2.4.2.7;6.2.1.28;6.2.1.30;2.7.6.1;3.6.1.17;2.7.9.3;4.3.2.2;3.6.1.18;6.1.1.9;1.2.1.31;6.1.1.6;6.1.1.5;6.1.1.4;6.1.1.3;1.1.1.35;3.6.1.13;4.2.1.17;5.3.3.8;3.1.3.5;3.1.2.3;6.1.1.10;6.1.1.1;6.3.2.5;6.1.1.17;2.1.3.3;3.6.1.5;5.1.99.4;6.2.1.24;6.3.5.1;6.3.4.5;6.5.1.1;6.1.1.15;6.1.1.22;6.3.4.1;6.1.1.20;6.5.1.4;2.7.1.20;6.2.1.3;6.3.4.9;6.3.5.4;3.6.1.9;3.1.2.2;6.3.5.2;2.7.1.147;6.2.1.-;1.14.13.39;1.3.1.34;6.1.1.2
C00020	C00385	2.4.2.8
C00020	CE7072	
C00020	C00262	2.4.2.8
C00020	C00049	6.3.4.5;6.3.5.4;6.1.1.12
C05839	C00031	3.2.1.21
C00062	C00327	6.3.4.5;4.3.2.2;1.14.13.39;6.1.1.19
C00147	C05841	2.4.2.1
C00147	C00294	2.4.2.1
C00147	C00330	2.4.2.1;2.4.2.4
C00147	C03150	2.4.2.1
C00147	C00170	2.4.2.28;2.5.1.22;2.5.1.16;2.4.2.8;5.3.1.23;2.4.2.1;2.4.2.4;2.4.2.7
C00147	C00559	2.4.2.1;2.4.2.4
C00147	C00385	2.4.2.1;2.4.2.8;2.4.2.4
C00147	C00212	2.4.2.1
C00147	C00262	2.4.2.1;2.4.2.8;2.4.2.4
C01005	C02532	3.1.3.3
C02934	C00836	1.1.1.102
CE5536	C00788	
CE5536	CE5541	;1.6.5.5;2.5.1.18
CE5536	C00051	;2.5.1.18
C05401	C00159	3.2.1.22
C05401	C00124	3.2.1.22;3.2.1.23
C05401	C00221	3.2.1.23
C05401	C00031	3.2.1.22
C05401	C00137	3.2.1.22
C05401	C05796	3.2.1.23
C05401	C00267	3.2.1.23
C05401	C01582	3.2.1.22;3.2.1.23
C05401	C01613	3.2.1.22
C04256	C00357	5.4.2.2;5.4.2.3;2.3.1.4
C04256	C04501	2.7.7.23;5.4.2.3
C01042	C00049	6.3.4.4;6.3.4.5;2.6.1.21;3.5.1.26;6.3.5.4;1.4.3.2;4.1.1.11;3.5.1.15;3.5.1.38;4.1.1.15;2.6.1.1;1.4.3.16;2.3.1.17;6.3.2.6;3.5.1.8;6.1.1.12;3.5.1.1;2.1.3.2;1.4.1.21
C00788	C05589	2.1.1.6;1.4.3.4
C00788	C00398	;1.4.3.6;1.4.3.4
C00788	C03758	;2.1.1.6;2.8.2.1;1.4.3.6;1.4.3.4
C00788	C00780	;1.4.3.4
C00788	C16609	1.4.3.4
C00788	C05634	2.1.1.6;1.4.3.4
C06376	C06377	3.5.1.25
C06376	C00357	3.5.1.25
C06376	C00352	3.5.1.25
C00398	C05589	1.4.3.4
C00398	C16609	1.4.3.4
C00398	C03758	4.1.1.28;;1.4.3.6;1.4.3.4
