SOURCE	TARGET	ENZYMES
C00788	C05589	2.1.1.6;1.4.3.4
C00788	C00398	;1.4.3.6;1.4.3.4
C00788	C03758	;2.1.1.6;2.8.2.1;1.4.3.6;1.4.3.4
C00788	C00780	;1.4.3.4
C00788	CE5536	
C00788	C16609	1.4.3.4
C00788	C05634	2.1.1.6;1.4.3.4
C05589	C00398	1.4.3.4
C05589	C03758	2.1.1.6;1.4.3.4
C05589	C00780	1.4.3.4
C05589	C16609	1.4.3.4
C05589	C05634	2.1.1.6;1.4.3.4
C00398	C16609	1.4.3.4
C00398	C03758	4.1.1.28;;1.4.3.6;1.4.3.4
C00398	C00780	4.1.1.28;2.1.1.49;;1.4.3.4
C00398	C05634	1.4.3.4
C03758	C09642	;2.1.1.6
C03758	C00780	;4.1.1.28;1.14.14.1;1.4.3.4
C03758	C16609	1.4.3.4
C03758	C05634	2.1.1.6;1.4.3.4
C00780	C05648	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00780	C16609	1.4.3.4
C00780	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00780	C05634	1.4.3.4
C05648	C00643	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C16609	C05634	1.4.3.4
