mz	time	mz.min	mz.max	p_0hr_01_1	p_0hr_01_3	p_0hr_01_5	p_0hr_02_1	p_0hr_02_3	p_0hr_02_5	p_0hr_03_1	p_0hr_03_3	p_0hr_03_5	mock_6hr_01_1	mock_6hr_01_3	mock_6hr_01_5	mock_6hr_02_1	mock_6hr_02_3	mock_6hr_02_5	mock_6hr_03_1	mock_6hr_03_3	mock_6hr_03_5	yf_6hr_01_1	yf_6hr_01_3	yf_6hr_01_5	yf_6hr_02_1	yf_6hr_02_3	yf_6hr_02_5	yf_6hr_03_1	yf_6hr_03_3	yf_6hr_03_5
85.02783	59.6882	85.02783	85.02783	15.581	16.0425	15.3953	15.4143	15.7364	15.5532	17.5684	17.0482	17.1605	17.1089	17.0896	17.4834	17.3895	17.0493	17.1132	17.0142	17.7896	17.514	17.1734	16.9813	16.6582	16.8376	16.8148	17.2885	16.5967	16.4734	16.6048
85.04717	124.7512	85.04709	85.04739	14.4754	14.2709	14.3696	14.7142	14.8291	14.9959	16.0129	15.9395	14.9312	15.7852	16.9694	16.8227	16.082	16.3596	14.9497	16.4375	16.788	16.6485	16.6961	16.3596	17.0661	15.2321	15.1615	16.5655	16.4316	16.1668	16.2193
85.06532	68.66651	85.06517	85.06547	14.4223	15.0515	15.1241	13.5224	16.748	14.4095	9.9658	14.7208	12.9143	13.975	9.9658	8.4505	12.7531	9.9658	9.117	15.1972	9.1081	9.7859	14.0113	15.8681	13.3699	9.9658	15.5703	16.5537	11.947	10.3181	10.1656
85.10073	16.48022	85.1005	85.10078	14.5249	13.2573	13.5206	12.9044	11.4185	12.9223	13.8536	12.7706	13.3031	12.6327	13.6879	13.6275	12.9264	13.1886	13.357	13.5942	13.3003	13.3513	13.2977	13.114	12.5569	12.9582	12.996	13.029	12.4184	13.0218	13.4085
86.05951	67.78485	86.05949	86.0598	10.6674	17.4235	17.451	17.0197	17.0402	16.9958	17.8442	18.0095	17.8905	18.5749	18.447	18.2455	18.0086	18.2812	18.1462	18.4528	18.1639	18.5019	17.7391	17.9262	17.6089	17.5802	17.6529	17.7841	17.3077	10.7589	17.3895
86.05951	468.4582	86.05944	86.05967	15.4276	14.9258	15.0413	14.0333	13.6642	13.7567	14.4269	13.8308	12.4858	12.0795	13.2177	13.7815	13.0949	14.8642	11.5452	12.5366	12.3706	12.9956	14.5771	14.3483	14.1652	11.8053	13.1073	13.3419	14.0805	12.5298	11.878
87.04351	31.5659	87.04312	87.04404	14.317	15.3852	15.17	15.2311	14.0338	15.4437	15.3809	15.4037	15.3841	15.5962	15.2438	15.5003	15.4374	12.8878	15.1317	15.3527	15.3363	15.6859	14.9327	15.2701	15.4458	14.617	14.4188	15.7443	14.9767	14.2159	14.6986
87.05457	55.44294	87.05386	87.05478	17.3554	17.1806	17.6026	17.5362	17.4484	17.868	18.8283	18.7016	18.8949	19.1806	18.8965	18.986	18.9287	19.0577	18.9493	18.9933	18.8683	19.1396	18.1231	18.3306	18.0751	18.2129	18.2161	18.0789	18.0202	18.2153	18.1364
87.0993	53.87138	87.0993	87.0993	18.9559	19.1869	19.0587	19.6294	19.3644	19.451	19.6987	19.5869	20.7324	21.4096	21.441	21.2821	19.7141	19.8187	19.6681	20.014	21.0823	21.0333	21.2164	21.2219	21.2331	21.0953	21.1507	21.111	20.9099	20.9439	20.8236
87.92316	24.84978	87.92302	87.92333	13.1227	14.8822	13.6259	14.5998	13.8868	13.4033	13.5809	13.9348	13.1349	13.7106	13.4684	13.7033	13.2354	13.2141	13.5809	13.6167	13.5625	13.4231	13.4467	13.0232	13.3311	13.0047	13.7802	12.9122	13.4529	13.5692	13.57
