m/z	retention_time	FDR_BH	t-score	row_number	p-value	mock_6hr_01	mock_6hr_02	mock_6hr_03	p_0hr_01	p_0hr_02	p_0hr_03	yf_6hr_01	yf_6hr_02	yf_6hr_03
271.0885	101.0	3.26086590703e-10	202.565594869	row_7851	4.07863152849e-14	9.7	9.7	9.78	9.97	9.97	9.69	16.08	16.08	16.13
389.2671	238.0	8.87194864964e-10	92.6940557421	row_7893	2.21937427133e-13	9.97	9.97	9.97	9.97	9.97	9.97	13.5	13.61	13.49
305.1452	88.0	3.23506077399e-09	74.4487767734	row_7870	1.2139064818e-12	9.97	9.97	9.97	9.97	9.97	9.97	18.67	19.04	18.7
613.1556	295.0	4.11820066187e-09	-59.0872887541	row_2490	2.06038807348e-12	18.46	18.41	18.87	18.67	19.03	18.76	9.97	9.97	9.97
484.1131	295.0	7.19992893604e-08	-58.1596561897	row_2333	5.28699253701e-11	18.02	17.98	18.42	17.76	18.54	18.28	9.97	9.97	9.97
306.0746	94.0	7.19992893604e-08	-65.5838955325	row_1828	5.61403880247e-11	17.04	16.82	17.19	16.35	16.65	17.09	9.97	9.97	9.97
384.088	105.0	7.19992893604e-08	-37.5097368913	row_2098	6.30387774262e-11	18.83	18.27	18.87	18.52	18.68	18.37	9.56	9.97	9.54
307.5834	295.0	7.44908357817e-08	-60.2715159637	row_1834	7.45374216702e-11	18.36	18.27	18.73	17.99	18.89	18.66	9.97	9.97	9.97
296.1302	110.0	9.67486285622e-08	41.5812457726	row_7867	1.08910276055e-10	9.97	9.97	9.97	9.97	9.95	9.97	15.47	15.79	15.94
169.5265	93.0	1.51434320962e-07	-57.9995864001	row_894	1.89411283255e-10	16.18	16.15	16.49	15.58	15.73	16.33	9.97	9.97	9.97
288.1171	89.0	1.90992872095e-07	74.4289486274	row_7862	2.62779436278e-10	9.97	9.97	9.97	9.97	10.99	10.9	16.85	17.03	16.71
221.0581	83.0	2.14403129002e-07	-50.8328995623	row_6242	3.21805822141e-10	15.11	14.93	15.28	15.74	15.43	15.01	9.97	9.97	9.97
248.4397	37.0	2.59952223949e-07	29.2303746429	row_7932	4.32974232923e-10	10.59	9.97	9.97	10.3	9.97	9.97	17.29	17.78	17.48
307.0828	295.0	2.59952223949e-07	-38.9767980916	row_1831	4.64801007749e-10	21.03	20.57	21.0	20.39	21.23	20.99	11.21	11.42	10.74
138.0421	58.0	2.59952223949e-07	5.6329579632	row_7811	4.8771524193e-10	13.5	11.26	11.17	9.97	9.97	9.97	16.3	16.21	16.31
215.0482	120.0	2.66813132036e-07	-40.6049365172	row_1326	5.33959989065e-10	20.18	20.15	20.48	19.62	20.01	20.24	13.89	14.12	13.72
238.1063	302.0	5.36000427332e-07	35.70014717	row_7842	1.13971322885e-09	9.97	9.97	9.97	9.44	9.97	9.97	16.67	16.56	16.08
308.0626	117.0	5.74127941865e-07	55.7180981032	row_7687	1.29259574154e-09	10.68	10.83	10.88	9.97	9.97	10.95	15.72	15.8	15.58
406.0702	105.0	5.92108829476e-07	-25.2099144021	row_2155	1.40713793121e-09	16.18	15.65	16.24	15.9	15.84	15.7	9.97	9.49	9.97
